,Article,Date,Heading,,,
359,"KARACHI:  State Bank of Pakistan (SBP) on Saturday announced its monetary policy and decided to keep the policy rate unchanged at 6.0 percent.A statement issued here said that the average Jul-Oct FY16 inflation was at 1.7 percent is lower than the 7.1 percent average inflation in the corresponding period of last year.It said that the decline is broad based as both food and non-food and core inflation measures came down in this period.Going forward with subdued outlook of international oil price and other major commodity prices and in the absence of any shock to supplies of food items even though the average inflation would remain below the FY16 annual target of 6 percent the headline inflation is expected to reverse its declining momentum.Moreover market surveys indicate a marginal increase in inflation expectations for the coming months.The SBP statement further pointed out that the current account deficit despite a year on year 10.6 percent contraction in exports has narrowed down to $ 532 million in Jul-Oct FY16 from $ 1.9billion in Jul-Oct FY15. The improvement largely owes to declining oil price that has substantially reduced the oil import payments healthy workers remittances and the realization of Coalition Support Fund.At the back of official disbursements and Eurobond inflows surplus in capital and financial account has supported the overall balance of payments position thus ensuring an upward trajectory in foreign exchange reserves in Jul Oct FY16. Going forward continued flow of external resources would be required to maintain the stable balance of payments position.Furthermore, realization of investment inflows stemming from the China Pakistan Economic Corridor would indeed strengthen the external sector outlook over the medium to long term.Large Scale Manufacturing (LSM) mainly supported by food and beverages, automobiles, fertilizers and cement production increased to 3.9 percent in Jul Sep 2015 compared to 2.6 percent in the same period of last year.Further boost to this growth is expected from expansion in cotton yarn manufacturing strong construction activities as per planned development spending increased automobile production encouraged by government schemes and improving energy supply at the back of recent LNG imports.Credit to private sector witnessed a nominal increase in July-October 2015 wherein fixed investments continued to expand for the fourth consecutive quarter from Q2 FY15 to Q1 FY16. As a result of easy monetary policy, the weighted average lending rates on fresh and outstanding loans at 7.8 percent and 9.2 percent in September2015 are the lowest in 10 years.Thus, with current credit cycle now entering in uptake phase and with improving LSM growth borrowing on account of both the working capital and fixed investment is likely to increase.This outlook would reflect in broad money (M2) growth going forward which during July 01-November 06, 2015 M2 has expanded by 0.2percent against 0.7 percent during the same period last year.While the Net Domestic Assets declined by Rs 78 billion Net Foreign Assets contribution in M2 growth remained substantial as it increased by Rs106 billion.In view of the foregoing the Central Board of Directors of SBP has decided to keep the policy rate unchanged at 6.0 percent.",11/21/15,sbp keeps policy rate unchanged at 6,,,
360,"Singapore: Oil prices fell in Asia on Monday, extending their slide as a stronger dollar and news that world stockpiles have reached a record high put pressure on futures.Crude dived to two-month lows on Friday after the International Energy Agency, the world's forecaster, said global commercial stocks had reached three billion barrels.Mounting expectations the US will raise interest rates for the first time in almost a decade next month also drove the dollar higher on Monday, hurting commodities.""Record levels of crude oil in storage with no let-up in production are likely to keep prices in a range in the coming weeks,"" said Sanjeev Gupta, head of EY's oil and gas practice for Asia-Pacific.At around 0300 GMT, US benchmark West Texas Intermediate (WTI) for January delivery was down 84 cents at $41.06 while Brent crude for January was 51 cents lower at $44.15.World oil prices have more than halved in the past 18 months as global production has outpaced consumption, and the IEA on Friday predicted demand will grow by a sluggish 1.2 million barrels next year.The strengthening greenback, which got a boost over the weekend from bullish comments from a US Federal Reserve member, further hurt oil prices after three weeks of falls.A higher greenback tends to dampen demand for dollar-denominated commodities among holders of weaker currencies.Bernard Aw, market strategist at IG in Singapore, said oil prices are unlikely to stage a comeback any time soon. ""Crude oil appears to find some bottom at current levels, although it will find it difficult to break higher as bears are clearly waiting in the folds to knock it lower each time there is a rally,"" he said.",11/23/15,oil down in asia on oversupply fear,,,
361,"ISLAMABAD: Power tariff is likely to witness a decline of Rs1.81 per unit as a result of fuel adjustment for the month of October.In this connection, a petition will soon be sent to National Electric Power Regulatory Authority (NEPRA) to slash the electricity tariff, said spokesman for Ministry of Water and Power.He said there is a proposal for bringing down the power tariff due to the fuel adjustment for the month of October. The Central Power Purchasing Agency will soon dispatch a petition in this regard to NEPRA.NEPRA will come to decision to the above petition after conducting a hearing.The proposed cut in tariff will be applicable for all other power distributing companies with the exception of K Electric.",11/24/15,power tariff cut likely after fuel adjustment for,,,
362,"ISLAMABAD: The government has old wine to offer in a new bottle to appease both the IMF and the traders in its bid to broaden the tax base. The strategy, however, offers no promise to arrest the flow of smuggled goods, one of the key reasons for the undocumented economy. The tax amnesty scheme for whitening black money of traders will be treated as 'regularisation of money' as the IMF is opposed to any kind of amnesty. The government sees no other option to bring traders in the tax net, according to a well-placed official. Compared to past amnesty schemes, this measure will be for traders only. Although the government has taken a bold decision of daring traders community, the constituency of the ruling party, the current scheme lacks any strategy for checking the smuggled items that are available at cheap rates but without any invoicing, generating a chain of undocumented income and tax evasion at multiple level.'It is hard to fix all issues at once but we are trying to raise the cost of undocumented business through taxing banking transactions,' said an official privy to the ongoing deliberations when asked about the challenges to economy from the smuggled goods.Instead, the government is more focused on bringing the traders into the tax net by exempting them from tax audit at least for three-year allowing them declare their hidden assets and bank accounts, and in return they will gradually increase their tax payments during the amnesty period.'We have reminded traders that the era of benami transactions is going to be over soon,' said a tax official with reference to the legislation being drafted for tabling in Parliament early next year suggesting heavy penalty for offenders.The government will grant amnesty to the traders having undeclared assets if the declarations are made in the tax return and such return filers continue increasing their tax payment by 25% during the financial years exempted from scrutiny.Unlike the complicated tax return form for the regular taxpayers, one-page tax return is being designed for the traders in English and Urdu both benefiting from this scheme in order to facilitate their entry into the tax net.Another issue regarding the sales tax on the turnover is also being reduced from one percent to 0.25% in order to settle down long-standing dispute between the FBR and the traders. The traders have been objecting turnover on the total cost of product instead of total sale.Among other measures to address their concerns, regional-level committees of traders have been formed for meetings with the regional tax commissioners to discuss ways and means for ironing out differences.Right now, the government is in contact with two groups of traders headed by Khalid Pervez and Naeem Mir, both are Lahore-based.The former is said to be non-cooperative as he tends to politicise the entire issues even the tax notices that he received months ago alleging him of mis-declaration of bank accounts and assets.In tax year 2013, he declared a book shop in Urdu Bazara as his only business in addition to foreign remittances of four millions rupees and property income of three millions and paid tax Rs49,992, according to an FBR official. This was in contrast with the six undeclared bank accounts and plots as well as eight vehicles spotted by the FBR forming basis of issuing him a notice.Naeem Mir, on the other hand, has been cooperative and urging the government to launch an awareness campaign in order to counter the false propaganda, address their legitimate concerns in addition to educating traders about the benefits of being in the tax net.",11/24/15,new tax amnesty scheme for traders in the offing,,,
363,"Singapore: Oil prices fell in Asia Wednesday as diplomats tried to ease geopolitical tensions sparked by Turkey's shooting down of a Russian fighter jet on the Syrian border.Prices had surged Tuesday following the incident which analysts warned could further heighten tensions among key powers involved in the Syrian conflict and affect crude supplies from the oil-producing Middle East.The rally was cut short amid a flurry of diplomatic effort to appease a furious Russian President Vladimir Putin who called the shooting a ""stab in the back"" by ""accomplices of terrorists"".UN Secretary-General Ban Ki-moon called for urgent measures to cool down the heat, saying a ""credible and thorough review"" of the incident would help clarify what happened and prevent a repeat.The Russian SU-24 attack plane was shot down earlier Tuesday by two Turkish F-16s after it received 10 warnings within a five-minute period, Turkey's envoy to the United Nations said, but Moscow insisted the aircraft was inside Syrian territory.At around 0215 GMT, US benchmark West Texas Intermediate for delivery in January was down 11 cents to $42.76 and Brent crude for January was trading seven cents lower at $46.05. Both contracts jumped by more than $1 after the shooting.""Crude prices were bid up on fresh concerns over the Middle East tensions after Turkey shot down a Russian aircraft,"" said Bernard Aw, market strategist at IG Markets in Singapore.""However, it is unlikely that the tensions will escalate given the trade importance between the two countries, which means we should see a diplomatic solution,"" he told AFP.He said traders are setting their sights on a meeting on December 4 of the Organization of the Petroleum Exporting Countries for signs on whether the cartel will slash high production levels which have depressed prices in an oversupplied market.""An agreement to cut the production target will definitely be a booster for oil prices,"" Aw said.Attention will also be on a report by the US Department of Energy later Wednesday on last week's commercial crude stockpiles that will gauge demand in the world's top oil consumer.",11/25/15,oil prices down on diplomatic efforts to ease middle east tensi,,,
364,"KARACHI: The total foreign exchange reserves of the country have climbed to 19.828 billion dollars, said the State Bank of Pakistan (SBP) on Thursday.SBP's weekly statement said the foreign reserves held by State Bank on November 20 amounted 14. 6766 billion dollars and the net foreign reserves with other banks figured 5.151.6 billion.During the week SBP's liquid foreign reserves increased by 88 million to 14.677 billion compared to 14.589 billion in the previous week.",11/26/15,pakistans foreign exchange reserves rise to 19.828 b,,,
365,"ISLAMABAD: Volta Batteries has started an initiative to check the car batteries of the consumers free of cost. Volta has chosen the renowned petrol stations in the cities of Islamabad, Rawalpindi and Peshawar. The aim of the program is to help end consumers know about the health and general maintenance of their car batteries. The free battery checkup activity has been well received by the general public and in just initial two days, around 500 cars a day were inspected by Volta professionals.It is a two-month activity where trained professional from Volta inspect the battery water levels and overall condition of the batteries. Also, those who brought their cars for the checking received special gifts from Volta. What should be appreciated is that Volta is not only entertaining consumers that only have their batteries installed, but also those who are using batteries from other manufacturers. Volta is currently providing 10 MONTHS FREE REPLACEMENT GUARANTEE on car batteries.Volta officials told us that buyers usually forget to maintain their batteries soon after the purchase. And that can lead to premature failure of the batteries. This activity was initiated to make people realize that with proper maintenance, they can achieve the maximum from their batteries. A properly maintained battery won't only save you money in longer run, but will also prevent any unpleasant vehicle breakdown that could have been prevented in the first place.Volta produces all sorts of batteries and cater all types of vehicles; private, public or industrial. Volta produces not only regular car batteries but also maintenance free batteries for various applications. Volta is not available for the general public but is also being used by different governmental departments, including Pakistan Army.",11/26/15,sponsored volta offers free battery inspection in three citi,,,
366,"ISLAMABAD: Pakistan is set to invite global online payment giants PayPal and Alibaba to offer their services in the country, the IT ministry has said, after easing its e-commerce rules.The move follows a decision by the global Financial Action Task Force to remove Pakistan from its list of high-risk and non-cooperative jurisdictions linked to money laundering.Neither US-based PayPal nor Chinese e-commerce giant Alibaba (which operates a service called Alipay) currently work inside Pakistan, which had strict regulation until recently limiting online payments for services.Local vendors instead offer cash-on-delivery options.Pakistan's junior minister for information technology Anusha Rahman said in a Monday statement that following the central bank's decision to announce new rules for e-commerce, the government would ""solicit mechanism to coordinate with international e-commerce players such as PayPal, AliBaba etc encouraging them to establish their setup to enable e-commerce services in Pakistan.""Pakistan has a growing IT industry that mainly provides outsourcing services in the form of coding to major Western clients.IT exports, which account for around 10 percent of total service exports, are currently worth $2.2 billion annually, with the government aiming to increase the figure to more than $5 billion by 2017.The country of about 200 million people launched high-speed mobile internet services last year, with the subscriber base now totaling around 18 million. There are also around 21 million broadband Internet subscribers, according to official figures.",11/26/15,pakistan to invite paypal alibaba to start e commerce servi,,,
367,"Mehtab HaiderISLAMABAD: The government has decided to enhance regulatory duty on more than 313, what it called, luxury items within the next 72 hours in order to generate around Rs40 billion in line with the IMF's commitment for avoiding revenue shortfall in achieving the desired tax target of Rs3,104 billion.Top economic managers disclosed to The News on Wednesday night that the government dropped the idea to promulgate a presidential ordinance or then getting approval from parliament for legislation to amend the income tax or sales tax laws keeping in view expected stiff resistance from the opposition parties, especially in the Senate.'We have decided to rely upon increasing regulatory duty on luxury items in order to bridge the gap of Rs40 billion revenue shortfall in the coming seven months (Dec to June) period,' said the official.The items under consideration on which the duty may be enhance included packed or imported yogurt, butter, dairy spreads, cheese, natural honey, pineapples, guavas, mangoes, orange, lemons, apples, cherries, peaches, strawberries, pomegranates, lichis, dried fruits, chewing gum, cocoa powder, macaroni, vermicelli, pasta, corn flakes, sweet biscuits, waffles and wafers, rusks, cucumbers, pickles, tomatoes, tomatoes paste, potatoes and other vegetables, soya sauce, tomato ketchup and other tomato sauces, ice cream, syrups and squashes, mineral waters, dog or cat food, perfumes, lip makeup, eye makeup, nail polish, face powder, talcum powder, face and skin creams, lotions, shampoos, hair dyes, tooth paste, deodorants, soap in other forms, marble, granite and other stone, waste and scrap of tinned iron or steel, semi-finished products of iron or non- alloy steel, bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.",11/26/15,duty on 313 imported items to go up in 72 hour,,,
368,"Singapore: Oil prices held above $43 a barrel in Asia Thursday after US commercial crude supplies rose at a slower pace while jitters over the shooting down by Turkey of a Russian warplane lingered.Data from the US Department of Energy released Wednesday showed the country's commercial crude supplies rose by 1.0 million barrels for the week ending November 20.The increase for a ninth straight week kept supplies more than 100 million barrels above the five-year seasonal average and further confirmed the supply glut that has depressed prices for over a year.However, analysts noted that the increase was not as much as in previous rises and could be positive for prices in the longer term.The inventories data was followed by a report from oil field services firm Baker Hughes showing US oil drilling rigs in operation fell by nine to 555, indicating an ease in activities.""US crude oil inventories are not increasing as much as before, so this is giving the market some bullish sentiment,"" said Daniel Ang, an investment analyst with Phillip Futures in Singapore.At around 0115 GMT, US benchmark West Texas Intermediate for delivery in January was up eight cents at $43.12 and Brent crude for January was trading seven cents higher at $46.24.Ang said a report that durable goods orders in the United States, a barometer of the health of the world's biggest economy, came in better than expected was also helping to perk up sentiment.Prices rose after Turkey downed a Russian warplane on the Syrian border on Tuesday, due to fears that any escalation of the conflict would affect crude supplies.""There are still tensions going on and they are giving a bullish push to prices,"" Ang said. ""Tensions are still playing a part in the whole oil landscape.""Russia on Wednesday accused Turkey of a ""planned provocation"" and a rescued pilot of the targeted jet said that no warning had been given.",11/26/15,oil prices up in asi,,,
369,"London: World oil prices rose this week on concerns that heightened geopolitical tensions could disrupt Middle East supplies despite a market awash with crude.Traders were turning their attention to next week's OPEC output meeting to see if the oil producers' cartel will slash high output levels.The 12-nation OPEC, which counts the world's biggest oil producer Saudi Arabia among its members as well as Nigeria, Venezuela and Iran, holds a regular meeting in Vienna on December 4.Most analysts expect the cartel to stick to its decision taken at the last meeting in June, when OPEC defied calls to cut output despite sliding oil prices, so extending its strategy of preserving market share and fending off competition from the US shale energy boom.Keeping the status quo would see the Organization of Petroleum Exporting Countries' official production target left at 30 million barrels per day -- where it has stood for four years -- following pressure from cartel kingpin Saudi Arabia on the other members.""We continue to believe that there will not be any change in Saudi or OPEC policy"" in Vienna, noted Societe Generale analyst Michael Wittner.""Oil market oversupply will continue through next year, due to resilient US production -- even if it is declining -- high OPEC output led by Saudi Arabia and Iraq and the gradual return of Iran starting in"" 2016, he added.OPEC member Iran last week said it would not negotiate with the cartel over a planned half million barrels per day oil production hike once sanctions are lifted.Despite a supply glut that has caused crude prices to more than halve over the past 18 months -- due primarily to high output from US shale rock but also owing to weaker Chinese demand -- Iran has consistently said it plans to up its output when nuclear-related sanctions are lifted under a deal agreed in July with world powers.Downward pressure on the oil market this week was meanwhile capped by the shooting down by Turkey of a Russian fighter jet on the Syrian border.But reports that Russia is not taking military action against Turkey in retaliation eased fears that the tense situation in the region could escalate and disrupt Middle East oil supplies.Moscow said retaliatory measures would focus on using its leverage to tighten the screws on Turkey's economy, including halting joint economic projects.Next week will see traders monitoring also the meeting of the Federal Reserve, when policymakers are expected to lift US interest rates for the first time in almost a decade. A hike would likely boost the dollar, making oil priced in the US unit more expensive for holders of weaker currencies.By late Friday in London, Brent North Sea crude for delivery in January edged higher to $44.93 a barrel from $44.66 a barrel one week earlier.US benchmark West Texas Intermediate for January stood at $42.02 a barrel compared with $40.39 for the expired December contract one week earlier.",11/27/15,oil prices gain ahead of opec meeting,,,
370,"ISLAMABAD: Pakistan must raise an extra $379 million (about Rs40 billion) through new tax measures, the finance minister said on Monday, as the government seeks to qualify for its latest IMF loan tranche.Earlier this month, the IMF approved the release in December of a $502 million tranche of Pakistan's three-year $6.68 billion programme, even though the government missed targets for tax revenue generation, net domestic assets and the budget deficit.The government will levy an additional 5 to 10 percentage points of tax on 350 items and raise customs duty by 1 percentage point, Finance Minister Ishaq Dar said at a press conference in the federal capital.The full list of items was not immediately available.The increased levies would target ""non-essential luxury items"" only, and exemptions on the customs duty have been offered for 25 key industrial sectors, Dar said on Monday.""We have kept in mind not to increase duties that would make items more expensive for the common man,"" he said.Separate increased taxes were also announced on imported automobiles - both new and used - and domestically-produced cigarettes.In its last review, the International Monetary Fund had warned that the release of December's approved $502 million tranche depended on the announcement of new measures to generate an extra 40 billion Pakistan rupees ($380 million) in revenue. ""This was a deadline in a sense, and if the government didn't do it the next tranche of the programme would at least be delayed, if not suspended,"" Khurram Husain, an economic analyst and journalist, told Reuters.It was unclear if the new measures would meet the target.Dar had earlier told a parliamentary standing committee that the increased duties were meant to restrict Pakistan's import bill, not increase revenue.Husain said if the measures did not raise enough funds, the government would have to raise taxes on staples such as electricity and petrol.",11/30/15,pakistan aims to raise 379 million in new taxes to meet imf targ,,,
371,"Singapore: Oil prices traded below $42 in Asia Monday ahead of an OPEC meeting and the release of data on China's important manufacturing sector later in the week.The market will be watching whether members of the Organization of the Petroleum Exporting Countries, which meets on December 4, slash currently high output levels and ease a crude supply glut that has depressed prices for more than a year.Analysts said traders will also tune in to two key speeches by US Federal Reserve chair Janet Yellen this week for signs on the timing of a hike in US interest rates.November data on China's industrial sector is released on Tuesday, with traders looking for clues on the health of the world's top energy consumer.At around 0230 GMT, US benchmark West Texas Intermediate for delivery in January was up 10 cents to $41.81 and Brent crude for January was trading five cents lower at $44.81 a barrel.""We expect the focus to return to the timing of the US interest rate rise, with two key speeches by Fed Chair, Janet Yellen, on Wednesday and Thursday,"" Capital Economics said in a market commentary.Analysts expect Fed policymakers to raise interest rates during their December meeting, a move that will boost the dollar and make dollar-priced oil more expensive, denting demand and prices.OPEC's Friday meeting is expected to focus on the global crude oversupply, the return of Iranian oil to the market after the lifting of western economic sanctions and whether the cartel will cut production to boost prices.""However, comments from key OPEC ministers still seem relatively sanguine. Also, it is not clear that even if OPEC did cut its production target, actual output would fall, given the cartel is already producing well above its current target,"" Capital Economics said.Sanjeev Gupta, head of the Asia Pacific oil and gas practice at professional services firm EY, said the OPEC meeting would ""draw attention on supply and demand in the next year"".",11/30/15,oil prices trade below 42 in asi,,,
372,"Singapore: Oil prices rose in Asia Tuesday, three days before an OPEC meeting in which the cartel is expected to maintain high output levels despite a global supply glut.Analysts say the Organization of the Petroleum Exporting Countries is likely to focus more on maintaining market share against competitors than on slashing production in order to lift prices.US benchmark West Texas Intermediate for delivery in January was up 29 cents to $41.94 and Brent crude for January was trading 18 cents higher at 44.79 a barrel at around 0300 GMT.""Crude oil remained on the soft side as many expect OPEC to be unwaving about its production target when the group gathers this Friday,"" said Bernard Aw, market strategist at IG Markets in Singapore.""Crude prices are likely to stay sideways ahead of the OPEC meeting, where Iran is expected to announce plans to expand output.""Iran is expected to increase its oil exports after crippling western sanctions are lifted under a landmark deal reached with major world powers in July to curb its nuclear programme.The sanctions have restricted Iranian oil shipments and analysts say their return to the market will further add to the crude oversupply.Iran's deputy foreign minister Abbas Araghchi said last week his country expects the deal to come into force in early January, when Tehran will have implemented its commitments.Oil prices have been in retreat from levels above $100 a barrel reached in mid-2014, with the decline accelerating after OPEC's November 2014 meeting signalled the group would keep output high.A key measure of China's manufacturing activity dropped to its weakest level in more than three years in November, data released Tuesday showed, further underlining weaknesses in the world's top energy consumer.The official Purchasing Managers Index (PMI), which tracks activity in the crucial factories and workshops sector, fell to 49.6, the government statistics bureau said. It was the fourth consecutive month of decline and the lowest figure since August 2012.",12/1/15,oil prices rise in asia with opec meeting in focu,,,
373,"Hong Kong: Asian markets saw fresh volatility Wednesday, with Shanghai seeing sharp swings, as weak factory activity data highlighted weakness in the global economy but fuelled hopes central banks will stick to a loose monetary policy.The euro also held its own after rallying in New York as a surprisingly positive set of eurozone figures raised the possibility the European Central Bank will delay an expected stimulus boost.Official figures showing a gauge of Chinese manufacturing activity hit a three-year low in November was followed later in the day by news that US factory work contracted at the fastest pace since June 2009.While the US economy, the world's biggest, has shown strong signs it is well on track to recovery, traders remain nervous about the future, with commodity prices at multi-year lows and the dollar soaring, hitting exports.""Traditionally, the manufacturing sector has been the canary in the coal mine when it comes to slowing growth. To what extent does this bleed over into other sectors of the economy -- that's yet to be seen,"" Brett Ryan, a US economist at Deutsche Bank Securities in New York, told Bloomberg News.All three main indexes on Wall Street ended higher as investors bet that an expected increase in interest rates will be slow and gradual.In Asia, markets shifted in and out of positive territory. Shanghai was 0.1 percent lower after surging more than one percent at one point.- Eurozone boost -The benchmark index rose Monday and Tuesday, having plunged 5.5 percent at the end of last week on news that several top brokerages were being investigated as part of a crackdown after the summer's market rout.However, the International Monetary Fund's decision to include the yuan in its special drawing rights basket of elite currencies has provided some buying support.On currency markets talk of a slow rise in US rates weighed on the dollar, which retreated in New York to $1.0634 from $1.0566 and to 122.86 yen from 123.09 yen.The euro was also given support by data showing factory growth in the eurozone picked up the pace last month while unemployment tumbled, fuelling hopes the bloc is slowly recovering.The EU's Eurostat agency said unemployment in the 19-country region fell to 10.7 percent in October, the best reading since January 2012. In Germany the rate sank to its lowest level since the country's reunification in 1990.Dealers are awaiting a European Central Bank policy meeting this week to see if it ramps up its stimulus programme or, in light of the latest report, stands pat until the new year.Sydney stocks slipped despite a slight pick-up in the Australian economy in the July-September quarter, which Treasurer Scott Morrison said showed progress in shifting from a resources-fuelled boom to broader-based growth.- Key figures around 0300 GMT -Tokyo - Nikkei 225: down 0.1 percent at 20,002.12 (break)Shanghai - composite: DOWN 0.1 percent 3,452.12Hong Kong - Hang Seng: UP 0.2 percent at 22,427.61Euro/dollar: DOWN to $1.0620 from $1.0634 late TuesdayDollar/yen: UP to 122.95 yen from 122.86 yenNew York - Dow: UP 1.0 percent at 17,888.35 (close)London - FTSE 100: UP 0.6 percent at 6,395.65 (close)",12/2/15,asian shares swing on weak factory d,,,
374,"Vienna: The Organization of the Petroleum Exporting Countries has decided against cutting its oil output to lift prices, its president and Nigerian oil minister Emmanuel Ibe Kachikwu said following a meeting here Friday.OPEC, whose members together pump out more than one third of world oil, is currently producing above its official target of 30 million barrels per day.""Given the present position of the economy of countries that are purchasing (oil) and the worldwide economy, we will retain production at current levels,"" said Kachikwu, who is minister of state for petroleum resources in Nigeria.OPEC is currently pumping out around 32 million barrels of oil per day.The cartel on Friday published no figures on output in its communique, as it awaits increased output from Iran after sanctions were lifted on the Islamic republic.""We cannot put a number now because Iran is coming, we don't know when Iran will come, and we will have to accommodate Iran one way or the other,"" said OPEC Secretary General Abdullah el-Badri.""We decided to postpone this decision to the next OPEC meeting (in June) until the picture will be more clearer for us to decide on a number,"" he added.Despite oil prices plunging by more than 60 percent in 18 months, OPEC kingpin Saudi Arabia and the cartel's other Gulf state members are defying calls to reduce output -- in a year-long strategy of attempting to preserve market share and fend off competition from non-OPEC and world leading producers Russia and the United States.Saudi Arabia on Friday repeated the kingdom's stance that it would be willing to cut as long as non-OPEC also reduces its output.""We have said on more than one occasion that we are willing to cooperate with anyone that will help balance the market... with us,"" Saudi oil minister Ali al-Naimi told reporters gathered at OPEC headquarters in Vienna.OPEC's poorer nations -- notably Venezuela, Ecuador and Algeria -- had led the calls for a cut to help boost prices and in turn their badly-hit revenues.""Everyone is concerned about... the prices, no one is happy,"" said Iraq's oil minister Adil Abd Al-Mahdi.OPEC on Friday confirmed that Indonesia had returned to the cartel after a near seven-year absence, bringing the number of member countries to 13.",12/4/15,opec decides against cutting oil output nigeri,,,
375,"London: World stock markets churned lower Friday on lingering disappointment over ""underwhelming"" eurozone stimulus measures and ahead of key US jobs data.Equities had plunged Thursday as the European Central Bank's latest stimulus plan disappointed investors, sparking a global sell off that spilled over into Wall Street and Asia.In late Friday morning deals, London lost another 0.2 percent, Frankfurt fell 0.6 percent and Paris also slid 0.6 percent, one day after the key indices shed between two and four percent in value.Speculation had swirled for weeks that the ECB would ramp up its bond-buying programme and loosen monetary policy to bolster growth and counter weak inflation.Hopes were stoked Wednesday by news that eurozone inflation languished at 0.1 percent in November -- far lower than the ECB's official 2.0-percent target.The bank on Thursday cut deposit rates further into negative territory -- meaning lenders must pay to park cash with it and so look to loan more -- and extended the length of its bond purchases.- Huge let-down -However, the long-awaited announcement was seen as a huge let-down as it crucially failed to increase the size of the stimulus while the rate cut was less than hoped for.""Equity markets took a notable shake out yesterday in response to the underwhelming actions of the ECB,"" said TrustNet Direct analyst Tony Cross.""The central bank's stimulus measures fell some way short of expectations, initiating degree of panic across the board.""This rattled US markets after the European close last night and is once again taking a toll in early trade as the week's final session gets underway.""The news sent the euro surging on Thursday to a one-month peak at $1.0981, having earlier hit a 7.5-month low of $1.0524 in highly volatile deals.""Draghi failed to deliver on investors' expectations,"" said ETX Capital analyst Daniel Sugarman.""In November the ECB governor had stated that the ECB would 'do what we must to raise inflation as quickly as possible' -- which investors took to mean the unveiling of a significant surge in monetary stimulus in December.""The single currency had come under fierce selling pressure leading up to the announcement as dealers positioned themselves for more far-reaching measures.- Fed caution -The euro's gains were also given support after Federal Reserve boss Janet Yellen said the bank remained wary of a US interest rate rise because of concerns about a strong dollar and other central banks' loose monetary policies.While the Fed is still widely expected to lift rates this month -- for the first time in nine years -- Yellen's comments caused traders to baulk after a recent run-up in the dollar. Dealers are now awaiting the release of key US jobs data later in the day, although analysts say the report would need to be monstrously bad to prevent a Fed rate rise in December.Asian stocks finished in the red, with Tokyo down 2.2 percent, Shanghai shedding 1.7 percent and Sydney 1.5 percent lower.Oil prices rose Friday amid OPEC's policy meeting in Vienna, where the cartel appears on course to maintain crude production levels despite a recent plunge to underneath $40 per barrel.- Key figures around 1130 GMT -London - FTSE 100: DOWN 0.2 percent at 6,263 pointsFrankfurt - DAX 30: DOWN 0.6 percent at 10,728Paris - CAC 40: DOWN 0.6 percent at 4,702 EURO STOXX 50: DOWN 0.4 percent at 3,149Tokyo - Nikkei 225: DOWN 2.2 percent at 19,504.48 (close)New York - Dow: DOWN 1.4 percent at 17,477.67 (close)Euro/dollar: DOWN to $1.0876 from $1.0947 in late US trade on ThursdayDollar/yen: UP to 122.80 yen from 122.61 yen",12/4/15,global stocks fall as ecb underwhelms investor,,,
376,"KARACHI: Home World, a Pakistan based company, has signed a contract with ICS New Zealand for distribution of Kiwi Mobiles - a well reputed brand of New Zealand for Asia and United Arab Emirates (UAE).The ceremony was held in Karachi, Pakistan, in which both the parties announced their aim to establish quality and latest technology driven products to cater to the present day market.The agreement was inked by Chairman ICS Mr. Richard Prebble and CEO Home World (Right) Asif Rajar.Soft launch dates will be announced in Pakistan soon.",12/5/15,home world set to distribute kiwi mobiles in paki,,,
377,"ISLAMABAD: Finance Minister, Ishaq Dar on Monday said the government is ready to set up a parliamentary committee over the ordinance issued a day earlier for conversion of Pakistan International Airlines (PIA) into a limited company.Issuing a policy statement from the floor of National Assembly, the Finance Minister said prior to reaching any conclusion the opposition should first go through the ordinance.Defending the issuance of the ordinance, he said the government adhered to all the legal requirements in promulgating this ordinance.'We are restructuring PIA and the purpose of the ordinance is to make it a corporate entity,' he argued, adding that implementation of the ordinance will not lead to any kind of change in the rights and privileges of the PIA employees. He said if the opposition has objections over the ordinance, it can go ahead and present a resolution for its rejection in the lower house. He said the matter will be discussed with the opposition leader in the National Assembly and thereupon the speaker may constitute a committee to look into the issue.Defending the government's decision to impose additional taxes, Ishaq Dar said there was a tax shortfall of Rs40 billion. He said taxes have either been imposed or raised only items that fall in the category of luxury goods.He said 58 percent of the proceeds from additional taxes will go to the provinces' kitty while the federation will only receive its one third.",12/7/15,presidential ordinance govt ready to set up parliamentary commi,,,
